reviews,lemmas,lemmas,aspectCategory
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","['decent', 'food', 'great', 'water', 'much', 'salad', 'eye', 'start', 'except', 'lemon', 'pepper']",so much;much pepper;here was;not great;,food
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.","['less', 'asthet', 'lad', 'variou', 'pleas', 'place', 'dish', 'paper', 'nar', 'better', 'good', 'pad', 'look', 'thai', 'food']",lad nar;various other;other dishes;i 've;better thai;thai food;less asthetically;asthetically pleasing;pleasing places;,food
Delicious food at a great price but do not go here on a cold day and sit by the front door.,"['delici', 'cold', 'front', 'door', 'go', 'day', 'sit', 'food', 'price', 'great']",delicious food;great price;not go;cold day;front door;,food
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).","['hot', 'spici', 'fish', 'chicken', 'sourc', 'menu', 'fillet', 'special', 'bean', 'pick', 'guizhou']",hot bean;fish fillet;special menu;,food
"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.","['decent', 'quit', 'exist', 'even', 'impress', 'chinatown', 'overal', 'still', 'place', 'price']",i 'm;still impressed;even exists;quite decent;then again;,price
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","['part', 'restaur', 'warm', 'admittedli', 'night', 'insid', 'kitchen', 'charm', 'rather', 'open']",rather warm;open kitchen;is part;,ambience
My six year old loved it.,"['old', 'love', 'six', 'year']",year old;old loved;,anecdotes/miscellaneous
Pizza was a little soggy.,"['littl', 'pizza', 'soggi']",little soggy;,food
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.","['bhelpuri', 'bombay', 'style', 'sevpuri', 'famou', 'well', 'chaat', 'inlud', 'samosa', 'indian', 'appet', 'scrumptiou', 'food', 'great']",inludes famous;famous scrumptious;scrumptious bombay;chaat such;as well;other great;great indian;indian appetizers;,food
The Singapore Mai Fun had NO curry flavor whatsoever.,"['mai', 'curri', 'singapor', 'flavor', 'fun', 'whatsoev']",,food
The only problem is that the manager is a complete incompetent.,"['manag', 'complet', 'problem', 'incompet']",only problem;complete incompetent;,service
The wine list is interesting and has many good values.,"['list', 'interest', 'mani', 'good', 'valu', 'wine']",wine list;many good;good values;,food
Murray won't do it.,['murray'],n't do;,service
I'm still mad that i had to pay for lousy food.,"['lousi', 'pay', 'mad', 'still', 'food']",still mad;lousy food;,food
This restaurant used to be our regular Thursday night dinner location.,"['thursday', 'regular', 'restaur', 'locat', 'night', 'dinner', 'use']",regular thursday;,anecdotes/miscellaneous
Definite go if you're used to good Indian restaurant food from abroad.,"['food', 'restaur', 'abroad', 'indian', 'good', 'use', 'definit', 'go']",definite go;good indian;indian restaurant;,food
"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.","['yet', 'cozi', 'moshpher', 'compact', 'thr', 'modern']",,ambience
"By far, the best pizza in Manhattan.","['far', 'pizza', 'manhattan', 'best']",best pizza;,food
"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.","['decent', 'cute', 'terribl', 'nolita', 'hangout', 'though', 'littl', 'servic', 'dank', 'bite', 'thai', 'food']",decent thai;bit dank;little nolita;nolita hangout;service terrible;,food
"Most people eat there seem to be typical Upper East Side snobs, so be aware.","['snob', 'peopl', 'east', 'awar', 'seem', 'upper', 'typic', 'eat', 'side']",most people;there seem;typical upper;upper east;east side;so be;,ambience
The waiter actually poured water on my hand and walked away.,"['waiter', 'hand', 'pour', 'actual', 'away', 'water', 'walk']",actually poured;poured water;,service
"The food is mostly made from scratch, fresh and well prepared.","['fresh', 'mostli', 'prepar', 'well', 'make', 'scratch', 'food']",mostly made;well prepared;,food
"Worse of all, $60 was erroneously added to our $80 bill.","['bill', 'add', 'wors', 'erron']",erroneously added;,service
Too cold to enjoy.,"['cold', 'enjoy']",too cold;,ambience
"NO more reservations, expensive tips and annoying stuff.","['reserv', 'tip', 'expens', 'stuff', 'annoy']",more reservations;expensive tips;annoying stuff;,service
Try the sea bass.,"['tri', 'sea', 'bass']",,food
$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,"['get', 'sushi', 'qualiti', 'best', 'high', 'japan', 'unlimit', 'one', 'friend', 'even', 'take', 'say', 'us', 'place']",unlimited sushi;very high;high quality-;even took;best sushi;,food
I brought some buddies from CA and they loved it.,"['love', 'buddi', 'bring', 'ca']",,anecdotes/miscellaneous
"Inside is a little cramped, but to be expected.","['littl', 'insid', 'expect', 'cramp']",little cramped;,ambience
Sushi wasn't anything spectacular for the price.,"['spectacular', 'price', 'anyth', 'sushi']",anything spectacular;,price
"During our meal, the management came over and checked on us and even bought us a round of drinks.","['come', 'manag', 'check', 'meal', 'round', 'even', 'buy', 'us', 'drink']",even bought;,service
"But they don't have a toaster, which is strange.","['strang', 'toaster']",n't have;,service
"So, for good food i'd recommend it, but not for a fun night out.","['recommend', 'night', 'good', 'food', 'fun']",good food;,food
The menu choices are similar but the taste lacked more flavor than it looked.,"['lack', 'similar', 'choic', 'menu', 'flavor', 'look', 'tast']",,food
A must for all the Dosa lovers.,"['lover', 'dosa', 'must']",,food
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.","['per', 'order', 'peopl', 'huge', 'three', 'two', 'one', 'rather', 'split', 'person', 'appet', 'good', 'entre', 'portion', 'might', 'thing']",,food
The appetizers are just OK and the main courses were decidedly subpar.,"['main', 'decidedli', 'appet', 'subpar', 'cours', 'ok']",just ok;main courses;decidedly subpar;,food
Someone else recommended the dessert - we also left that.,"['els', 'leav', 'also', 'dessert', 'recommend', 'someon']",else recommended;also left;,food
The exotic food is beautifully presented and is a delight in delicious combinations.,"['delight', 'present', 'delici', 'beauti', 'combin', 'food', 'exot']",exotic food;beautifully presented;delicious combinations;,food
The staff is very attentive and we can almost always get a table.,"['tabl', 'get', 'staff', 'alway', 'almost', 'attent']",very attentive;almost always;always get;,service
"If you are a vegetarian, this really isn't a good place to go.","['vegetarian', 'go', 'realli', 'good', 'place']",really is;good place;,anecdotes/miscellaneous
"Try the mediterranean salad, it is a true experience for your taste buds!!","['true', 'bud', 'salad', 'tri', 'experi', 'mediterranean', 'tast']",true experience;,food
I'm sure I'll return for a final judgement tho.,"['tho', 'judgement', 'final', 'return', 'sure']",sure i;final judgement;,anecdotes/miscellaneous
"Of course, it is crowded but who cares.","['crowd', 'cours', 'care']",,ambience
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"['list', 'manhattan', 'restaur', 'quaint', 'trattoria', 'top', 'romant']",romantic trattoria;,anecdotes/miscellaneous
I've been there three times and have always had wonderful experiences.,"['time', 'wonder', 'three', 'alway', 'experi']",always had;wonderful experiences;,anecdotes/miscellaneous
People are always friendly.,"['peopl', 'friendli', 'alway']",always friendly;,service
The cream cheeses are out of this world and I love that coffee!!,"['world', 'chees', 'cream', 'coffe', 'love']",,food
"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.","['yet', 'creativ', 'prepar', 'everyth', 'simpl', 'drink', 'entre', 'still', 'side']",creatively prepared;yet still;still simple;,food
hmmm.,['hmmm'],,anecdotes/miscellaneous
Service was prompt and courteous.,"['prompt', 'servic', 'courteou']",,service
It was not above ordinary and the beef version had cheap (undercooked) beef.,"['beef', 'undercook', 'cheap', 'version', 'ordinari']",,food
"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.","['small', 'decor', 'restaur', 'chanc', 'feel', 'cozi', 'romant', 'great']",small cozy;romantic feel;,ambience
"It was nice and fresh, but I can't give it high scores on being authentic thai.","['fresh', 'high', 'nice', 'give', 'score', 'thai', 'authent']",n't give;high scores;authentic thai;,food
"Overall, worht every penny.","['everi', 'worht', 'overal', 'penni']",,price
"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.","['get', 'morn', 'along', 'think', 'guest', 'abl', 'would', 'four', 'call']",n't think;other guests;,anecdotes/miscellaneous
"Got club soda, filled with ice, no lime.","['ice', 'get', 'soda', 'club', 'lime', 'fill']",club soda;,service
"Only wine and beer are served, but the house varities are actually quite good.","['actual', 'quit', 'serv', 'beer', 'hous', 'variti', 'good', 'wine']",actually quite;quite good;,food
This place must have cost the owners afortune to build.,"['cost', 'owner', 'build', 'afortun', 'must', 'place']",,anecdotes/miscellaneous
My mouth starts to water merely thinking about the delight that is this restaurant.,"['delight', 'mere', 'restaur', 'think', 'mouth', 'start', 'water']",merely thinking;,food
I haven't been to the other locations.,['locat'],n't been;other locations;,anecdotes/miscellaneous
"Oh, and the complimentary pudding dessert was just enough- yummy!","['complimentari', 'dessert', 'yummi', 'pud', 'oh', 'enough']",complimentary pudding;just enough-;enough- yummy;,food
People dress in suits or evening gowns as well as shirts jeans.,"['gown', 'peopl', 'well', 'dress', 'suit', 'even', 'shirt', 'jean']",evening gowns;as well;,ambience
we split a tasty vegetable samosa and the malai tikka wrap.,"['tikka', 'wrap', 'split', 'malai', 'samosa', 'veget', 'tasti']",tasty vegetable;vegetable samosa;,food
Knowledge of the chef and the waitress are below average.,"['chef', 'waitress', 'knowledg', 'averag']",below average;,service
We were walking around the village and went into this place just for some drinks.,"['place', 'go', 'around', 'drink', 'villag', 'walk']",,anecdotes/miscellaneous
Decent wine selection too.,"['decent', 'wine', 'select']",decent wine;,food
Go with a group of friends and you will have a great time.,"['time', 'friend', 'group', 'go', 'great']",great time;,anecdotes/miscellaneous
"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.","['tabl', 'crowd', 'dinnertim', 'noisi', 'wait', 'bar', 'often', 'save', 'walk']",often noisy;crowded bar;,anecdotes/miscellaneous
I have to say I have never had a disapointing meal here.,"['say', 'disapoint', 'meal', 'never']",say i;never had;,food
It's one of our favorite places to eat in NY.,"['one', 'eat', 'favorit', 'ny', 'place']",favorite places;,anecdotes/miscellaneous
"The place does get crowded, so I recommend going between 4-5 PM.","['get', 'crowd', 'pm', 'recommend', 'go', 'place']",i recommend;4-5 pm;,ambience
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,"['raddichio', 'bitter', 'chees', 'mine', 'though', 'goat', 'littl', 'burn', 'panchetta', 'kind', 'still', 'delici']",little burnt;still delicious;was kind;,food
"Disappointing food, lousy service.","['servic', 'disappoint', 'food', 'lousi']",disappointing food;lousy service;,food
"I'm from sichuan, this is the restaurant I recommend going.","['sichuan', 'restaur', 'recommend', 'go']",i 'm;,anecdotes/miscellaneous
This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.,"['amongst', 'restaur', 'stand', 'love', 'smith', 'asian', 'street', 'fusion', 'french', 'great']",lovely french-asian;french-asian fusion;other great;great restaurants;smith street;,anecdotes/miscellaneous
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.","['neighborhood', 'bistro', 'casual', 'want', 'excel', 'place', 'servic', 'food', 'great']",casual neighborhood;great food;excellent service;,food
great place to go for a drink too because they have 100 kinds of beer.,"['beer', 'go', 'drink', 'kind', 'place', 'great']",great place;,food
